category,text,source
Unilateral Change,"any fraudulent , abusive , or otherwise illegal activity or any use of the services or content in violation of this agreement may be grounds for termination of subscriber 's right to services or to access the site .",LexGLUE_UnfairToS
Limitation of Liability,"to the fullest extent allowed by law , 9gag , inc disclaims any liability or responsibility for the accuracy , reliability , availability , completeness , legality or operability of the material or services provided on this site .",LexGLUE_UnfairToS
Limitation of Liability,"by using this site , you acknowledge that 9gag , inc is not responsible or liable for any harm resulting from ( 1 ) use of the site ; ( 2 ) downloading information contained on the site including but not limited to downloads of content posted by subscribers ; ( 3 ) unauthorized disclosure of images , information or data that results from the upload , download or storage of content posted by subscribers ; ( 4 ) the temporary or permanent inability to access or retrieve any subscriber content from the site , including , without limitation , harm caused by viruses , worms , trojan horses , or any similar contamination or destructive program .",LexGLUE_UnfairToS
Limitation of Liability,"in no event shall 9gag , inc , its directors , officers , shareholders , employees or members be liable with respect to the site or the services for ( a ) any indirect , incidental , punitive , or consequential damages of any kind whatsoever ; ( b ) damages for loss of use , profits , data , images , subscriber content or other intangibles ; ( c ) damages for unauthorized use , non-performance of the site , errors or omissions ; or ( d ) damages related to downloading or posting content .",LexGLUE_UnfairToS
Limitation of Liability,"9gag , inc 's and the site 's collective liability under this agreement shall be limited to three hundred u.s. dollars .",LexGLUE_UnfairToS
Content Removal,"9gag , inc may modify and/or eliminate such fee-based services at its discretion .",LexGLUE_UnfairToS
Content Removal,"9gag , inc may change its prices at any time but will provide you reasonable notice of any such changes by posting the new prices on the site and by sending you email notification .",LexGLUE_UnfairToS
Unilateral Change,either party may terminate the services at any time by notifying the other party by any means .,LexGLUE_UnfairToS
Unilateral Change,"9gag , inc may also terminate or suspend any and all services and access to the site immediately , without prior notice or liability , if subscriber breaches any of the terms or conditions of this agreement .",LexGLUE_UnfairToS
Limitation of Liability,"9gag , inc shall not be liable for any failure to perform its obligations hereunder where such failure results from any cause beyond 9gag , inc 's reasonable control , including , without limitation , mechanical , electronic or communications failure or degradation .",LexGLUE_UnfairToS
Arbitration,this agreement shall be governed by and construed in accordance with the laws of the state of delaware without regard to the conflict of laws provisions thereof .,LexGLUE_UnfairToS
Contract Termination,"9gag 's intellectual property policy is to ( a ) remove material that 9gag believes in good faith , upon notice from an intellectual property owner or their agent , is infringing the intellectual property of a third party by being made available through the services , and ( b ) remove any subscriber content posted to the services by `` repeat infringers . ''",LexGLUE_UnfairToS
Unilateral Change,"9gag has discretion , however , to terminate the account of any user after receipt of a single notification of claimed infringement or upon 9gag 's own determination .",LexGLUE_UnfairToS
Content Removal,"these terms and conditions , as may be amended from time to time , apply to all our services directly or indirectly ( through distributors ) made available online , through any mobile device , by email or by telephone .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"by accessing , browsing and using our ( mobile ) website or any of our applications through whatever platform ( hereafter collectively referred to as the `` website '' ) and/or by completing a reservation , you acknowledge and agree to have read , understood and agreed to the terms and conditions set out below ( including the privacy statement ) .",LexGLUE_UnfairToS
Arbitration,"if you are paying a reservation by credit card or debit card processed by enett international ( uk ) limited , the transaction shall be governed by the laws of england and wales , to the extent permitted by applicable laws .",LexGLUE_UnfairToS
Limitation of Liability,booking.com disclaims any liability or responsibility for any communication with the supplier on or through its platform .,LexGLUE_UnfairToS
Limitation of Liability,we are not responsible or liable for ( and have no obligation to verify ) any wrong or misspelled email address or inaccurate or wrong ( mobile ) phone number or credit card number .,LexGLUE_UnfairToS
Contract Termination,"we reserve the right to adjust , refuse or remove reviews at our sole discretion .",LexGLUE_UnfairToS
Limitation of Liability,"subject to the limitations set out in these terms and conditions and to the extent permitted by law , we shall only be liable for direct damages actually suffered , paid or incurred by you due to an attributable shortcoming of our obligations in respect to our services , up to an aggregate amount of the aggregate cost of your reservation as set out in the confirmation email ( whether for one event or series of connected events ) .",LexGLUE_UnfairToS
Limitation of Liability,"however and to the extent permitted by law , neither we nor any of our officers , directors , employees , representatives , subsidiaries , affiliated companies , distributors , affiliate ( distribution ) partners , licensees , agents or others involved in creating , sponsoring , promoting , or otherwise making available the site and its contents shall be liable for ( i ) any punitive , special , indirect or consequential loss or damages , any loss of production , loss of profit , loss of revenue , loss of contract , loss of or damage to goodwill or reputation , loss of claim , ( ii ) any inaccuracy relating to the ( descriptive ) information ( including rates , availability and ratings ) of the supplier as made available on our platform , ( iii ) the services rendered or the products offered by the supplier or other business partners , ( iv ) any ( direct , indirect , consequential or punitive ) damages , losses or costs suffered , incurred or paid by you , pursuant to , arising out of or in connection with the use , inability to use or delay of our platform , or ( v ) any ( personal ) injury , death , property damage , or other ( direct , indirect , special , consequential or punitive ) damages , losses or costs suffered , incurred or paid by you , whether due to ( legal ) acts , errors , breaches , ( gross ) negligence , willful misconduct , omissions , non-performance , misrepresentations , tort or strict liability by or ( wholly or partly ) attributable to the supplier or any of our other business partners ( including any of their employees , directors , officers , agents , representatives or affiliated companies ) whose products or service are ( directly or indirectly ) made available , offered or promoted on or through the platform , including any ( partial ) cancellation , overbooking , strike , force majeure or any other event beyond our control .",LexGLUE_UnfairToS
Contract Termination,any photo/image that does not meet the aforesaid criteria will not be posted and/or can be removed/deleted by booking.com at any time and without prior notice .,LexGLUE_UnfairToS
Arbitration,"to the extent permitted by law , these terms and conditions and the provision of our services shall be governed by and construed in accordance with dutch law and any dispute arising out of these general terms and conditions and our services shall exclusively be submitted to the competent courts in amsterdam , the netherlands .",LexGLUE_UnfairToS
Content Removal,"youtube reserves the right to make changes the terms from time to time , for example to address changes to the law or regulatory changes or changes to functionality offered through the service .",LexGLUE_UnfairToS
Content Removal,therefore you must look at the terms regularly to check for such changes .,LexGLUE_UnfairToS
Choice of Law / Jurisdiction,your continued use of the service after the date the modified terms are posted will constitute your acceptance of the modified terms .,LexGLUE_UnfairToS
Content Removal,you acknowledge and agree that the form and nature of the service which youtube provides may change from time to time without prior notice to you .,LexGLUE_UnfairToS
Unilateral Change,"5.5 as part of this continuing innovation , you acknowledge and agree that youtube may stop ( permanently or temporarily ) providing the service ( or any features within the service ) to you or to users generally at youtube 's sole discretion , without prior notice to you .",LexGLUE_UnfairToS
Limitation of Liability,5.6 you agree that you are solely responsible for ( and that youtube has no responsibility to you or to any third party for ) any breach of your obligations under the terms and for the consequences ( including any loss or damage which youtube may suffer ) of any such breach .,LexGLUE_UnfairToS
Unilateral Change,"6.2 as part of youtube 's copyright policy , youtube will terminate user access to the / service if a user has been determined to be a repeat infringer .",LexGLUE_UnfairToS
Contract Termination,"7.8 on becoming aware of any potential violation of these terms , youtube reserves the right ( but shall have no obligation ) to decide whether content complies with the content requirements set out in these terms and may remove such content and/or terminate a user 's access for uploading content which is in violation of these terms at any time , without prior notice and at its sole discretion .",LexGLUE_UnfairToS
Unilateral Change,"11.3 youtube may at any time terminate its legal agreement with you if : a.you have breached any provision of the terms ( or have acted in manner which clearly shows that you do not intend to , or are unable to comply with the provisions of the terms ) ; or b. youtube is required to do so by law ( for example , where the provision of the service to you is , or becomes , unlawful ) ; or",LexGLUE_UnfairToS
Unilateral Change,"11.4 youtube may terminate its legal agreement with you if : youtube is transitioning to no longer providing the service to users in the country in which you are resident or from which you use the service ; or the provision of the service to you by youtube is , in youtube 's opinion , no longer commercially viable and in the case of each of a and b of this clause 11.4 shall , where possible , give reasonable notice of such termination .",LexGLUE_UnfairToS
Limitation of Liability,13.2 subject to the overall provision in paragraph 13.1 above youtube shall not be liable to you for : a. any indirect or consequential losses which may be incurred by you .,LexGLUE_UnfairToS
Limitation of Liability,"this shall include ; ( i ) any loss of profit ( whether incurred directly or indirectly ) ; ( ii ) any loss of goodwill or business reputation ; ( iii ) any loss of opportunity ; or ( iv ) any loss of data suffered by you ; b.any loss or damage which may be incurred by you as a result of : i.any reliance placed by you on the completeness , accuracy or existence of any advertising , or as a result of any relationship or transaction between you and any advertiser or sponsor whose advertising appears on the service ; ii .",LexGLUE_UnfairToS
Limitation of Liability,"any changes which youtube may make to the service , or for any permanent or temporary cessation in the provision of the service ( or any features within the service ) ; iii .",LexGLUE_UnfairToS
Limitation of Liability,"the deletion of , corruption of , or failure to store , any content and other communications data maintained or transmitted by or through your use of the service ; iv .",LexGLUE_UnfairToS
Limitation of Liability,your failure to provide youtube with accurate account information ; v. your failure to keep your password or youtube account details secure and confidential .,LexGLUE_UnfairToS
Limitation of Liability,13.3 the limitations on youtube 's liability to you in paragraph 13.2 above shall apply whether or not youtube has been advised of or should have been aware of the possibility of any such losses arising .,LexGLUE_UnfairToS
Arbitration,"14.6 the terms , and your relationship with youtube under the terms , shall be governed by english law .",LexGLUE_UnfairToS
Unilateral Termination,you and youtube agree to submit to the exclusive jurisdiction of the courts of england to resolve any legal matter arising from the terms .,LexGLUE_UnfairToS
Unilateral Termination,"notwithstanding this , you agree that youtube shall still be allowed to apply for injunctive remedies ( or other equivalent types of urgent legal remedy ) in any jurisdiction .",LexGLUE_UnfairToS
Content Removal,"yahoo provides the yahoo services ( defined below ) to you subject to the following terms of service ( `` tos '' ) , which may be updated by us from time to time without notice to you .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"by accessing and using the yahoo services , you accept and agree to be bound by the terms and provision of the tos .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"in addition , when using particular yahoo owned or operated services , you and yahoo shall be subject to any posted guidelines or rules applicable to such services , which may be posted and modified from time to time .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"you understand that through your use of the yahoo services you consent to the collection and use ( as set forth in the applicable privacy policy ) of this information , including the transfer of this information to the united states and/or other countries for storage , processing and use by yahoo and its affiliates .",LexGLUE_UnfairToS
Limitation of Liability,"under no circumstances will yahoo be liable in any way for any content , including , but not limited to , any errors or omissions in any content , or any loss or damage of any kind incurred as a result of the use of any content posted , emailed , transmitted or otherwise made available via the yahoo services .",LexGLUE_UnfairToS
Contract Termination,"you acknowledge that yahoo may or may not pre-screen content , but that yahoo and its designees shall have the right ( but not the obligation ) in their sole discretion to pre-screen , refuse , or remove any content that is available via the yahoo services .",LexGLUE_UnfairToS
Contract Termination,"without limiting the foregoing , yahoo and its designees shall have the right to remove any content that violates the tos or is otherwise objectionable .",LexGLUE_UnfairToS
Limitation of Liability,you agree that yahoo has no responsibility or liability for the deletion or failure to store any messages and other communications or other content maintained or transmitted by the yahoo services .,LexGLUE_UnfairToS
Unilateral Change,you acknowledge that yahoo reserves the right to log off accounts that are inactive for an extended period of time .,LexGLUE_UnfairToS
Content Removal,you further acknowledge that yahoo reserves the right to modify these general practices and limits from time to time .,LexGLUE_UnfairToS
Content Removal,"yahoo reserves the right at any time and from time to time to modify or discontinue , temporarily or permanently , the yahoo services ( or any part thereof ) with or without notice .",LexGLUE_UnfairToS
Limitation of Liability,"you agree that yahoo shall not be liable to you or to any third party for any modification , suspension or discontinuance of the yahoo services ( or any part thereof ) .",LexGLUE_UnfairToS
Unilateral Change,"you agree that yahoo may , without prior notice , immediately terminate , limit your access to or suspend your yahoo account , any associated email address , and access to the yahoo services .",LexGLUE_UnfairToS
Unilateral Change,"cause for such termination , limitation of access or suspension shall include , but not be limited to , ( a ) breaches or violations of the tos or other incorporated agreements or guidelines , ( b ) requests by law enforcement or other government agencies , ( c ) discontinuance or material modification to the yahoo services ( or any part thereof ) , ( d ) unexpected technical or security issues or problems , ( e ) extended periods of inactivity , ( f ) engagement by you in fraudulent or illegal activities , and/or ( g ) nonpayment of any fees owed by you in connection with the yahoo services .",LexGLUE_UnfairToS
Limitation of Liability,"further , you agree that all terminations , limitations of access and suspensions for cause shall be made in yahoo 's sole discretion and that yahoo shall not be liable to you or any third party for any termination of your account , any associated email address , or access to the yahoo services .",LexGLUE_UnfairToS
Contract Termination,"termination of your yahoo account includes any or all of the following : ( a ) removal of access to all or part of the offerings within the yahoo services , ( b ) deletion of your password and all related information , files and content associated with or inside your account ( or any part thereof ) , and ( c ) barring of further use of all or part of the yahoo services .",LexGLUE_UnfairToS
Limitation of Liability,"you further acknowledge and agree that yahoo shall not be responsible or liable , directly or indirectly , for any damage or loss caused or alleged to be caused by or in connection with use of or reliance on any such content , goods or services available on or through any such site or resource .",LexGLUE_UnfairToS
Limitation of Liability,"you expressly understand and agree that yahoo and its subsidiaries , affiliates , officers , employees , agents , partners and licensors shall not be liable to you for any punitive , indirect , incidental , special , consequential or exemplary damages , including , but not limited to , damages for loss of profits , goodwill , use , data or other intangible losses ( even if yahoo has been advised of the possibility of such damages ) , resulting from : ( a ) the use or the inability to use the yahoo service ; ( b ) the cost of procurement of substitute goods and services ; ( c ) unauthorized access to or alteration of your transmissions or data ; ( d ) statements or conduct of any third party on the yahoo service ; or ( e ) any other matter relating to the yahoo service .",LexGLUE_UnfairToS
Unilateral Change,"yahoo may , in appropriate circumstances and at its discretion , disable and/or terminate the accounts of users who may be repeat infringers .",LexGLUE_UnfairToS
Arbitration,"you and yahoo each agree that the tos and the relationship between the parties shall be governed by the laws of the state of california without regard to its conflict of law provisions and that any and all claims , causes of action or disputes ( regardless of theory ) arising out of or relating to the tos , or the relationship between you and yahoo , shall be brought exclusively in the courts located in the county of santa clara , california or the u.s. district court for the northern district of california .",LexGLUE_UnfairToS
Unilateral Termination,"you and yahoo agree to submit to the personal jurisdiction of the courts located within the county of santa clara , california or the northern district of california , and agree to waive any and all objections to the exercise of jurisdiction over the parties by such courts and to venue in such courts .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"by accessing or using any of the services , you agree to be bound by these terms .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"where other third party services are made available as part of our services , then the respective third party terms of service and privacy policy shall apply to any such use by you .",LexGLUE_UnfairToS
Unilateral Change,"notwithstanding any other remedies available to truecaller , you agree that truecaller may suspend or terminate your use of the services without notice if you use the services or the content in any prohibited manner , and that such use will be deemed a material breach of these terms .",LexGLUE_UnfairToS
Limitation of Liability,any such unmoderated content will not be covered by constitutional protection under the swedish fundamental law on freedom of expression as per the paragraph above and truecaller will not be liable for the publication of such content .,LexGLUE_UnfairToS
Limitation of Liability,you are solely liable for any content that you post or communicate directly in or on the services and you agree to only post or communicate content that :,LexGLUE_UnfairToS
Contract Termination,truecaller hereby reserves the right in its absolute discretion to remove any user generated content from the services .,LexGLUE_UnfairToS
Limitation of Liability,"such third party content , websites and services may be subject to the respective third party terms and conditions and truecaller will not be liable for any such third party content , websites or services .",LexGLUE_UnfairToS
Limitation of Liability,you understand and acknowledge that the services may be unavailable from time to time and that truecaller will not be liable for your inability to use the services for whatever reason .,LexGLUE_UnfairToS
Limitation of Liability,"to the maximum extent permitted by applicable law , you expressly agree that truecaller shall in no event be liable for any direct , indirect , special , incidental , consequential or exemplary damages , including but not limited to damages for loss of profits , data and goodwill , arising out of the use or inability to use the services or the content , even if advised of the possibility of such damages .",LexGLUE_UnfairToS
Limitation of Liability,"in particular , and without limitation , truecaller shall have no liability for any information stored or processed within the services , including the costs of recovering such information .",LexGLUE_UnfairToS
Limitation of Liability,"truecaller shall not be liable for the validity , reliability or correctness of the content and information provided through and in connection with use of the services .",LexGLUE_UnfairToS
Limitation of Liability,any use of the content and information obtained through the use of the services shall be at your own discretion and risk .,LexGLUE_UnfairToS
Content Removal,we may change the truecaller fees from time to time by posting the changes in or on the services or by notifying you in advance .,LexGLUE_UnfairToS
